Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L0001,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,12-May-25,stairs,30.8,כן
L0001,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,12-May-25,stairs,30.8,כן
L0001,Lighting Fixtures,M_Ceiling Light - Linear Box1,Emergency Lamp,1,12-May-25,stairs,30.8,כן
L0001,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,12-May-25,stairs,30.8,כן
L0002,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,2,17-May-25,MAKERS LAB,390.23,לא
L0002,Mechanical Equipment,AWSQ 700(right),AWSQ 700,3,17-May-25,MAKERS LAB,390.23,לא
L0004,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,22-May-25,stairs,30.8,כן
L0004,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,22-May-25,stairs,30.8,כן
L0004,Lighting Fixtures,M_Ceiling Light - Linear Box1,Emergency Lamp,1,22-May-25,stairs,30.8,כן
L0004,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,22-May-25,stairs,30.8,כן
L0005,Electrical Fixtures,Frame_Socket,1 AC,1,15-May-25,shelter,18.92,לא
L0005,Mechanical Equipment,AWSQ 1000,AWSQ 1000,1,15-May-25,shelter,18.92,לא
L0006,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,09-May-25,guest toilets,13.33,כן
L0006,Electrical Fixtures,Frame_Socket,Type 2,3,09-May-25,guest toilets,13.33,כן
L0009,Electrical Fixtures,Frame_Socket,1 AC,1,03-May-25,elevators Lobby,31.39,כן
L0009,Mechanical Equipment,AW 800,AW 800,1,03-May-25,elevators Lobby,31.39,כן
L0011,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,2,06-May-25,it /security room,31.2,כן
L0011,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,06-May-25,it /security room,31.2,כן
L0011,Electrical Fixtures,Frame_Socket,1 AC GEN,2,06-May-25,it /security room,31.2,כן
L0011,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,06-May-25,it /security room,31.2,כן
L0011,Electrical Fixtures,Socket_Cee_R19,GEN CEE_1x16A_1Ph,12,06-May-25,it /security room,31.2,כן
L0011,Electrical Fixtures,Socket_Cee_R19,UPS CEE_1x16A_1Ph,12,06-May-25,it /security room,31.2,כן
L0011,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,it /security room,31.2,כן
L0011,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,9,06-May-25,it /security room,31.2,כן
L0011,Mechanical Equipment,AWV 1200,AWV 1200,2,06-May-25,it /security room,31.2,כן
L0012,Electrical Fixtures,Frame_Socket,1 AC,1,13-May-25,supply zone(fire),9.86,לא
L0012,Mechanical Equipment,AWSQ 450,AWSQ 450,1,13-May-25,supply zone(fire),9.86,לא
L0013,Electrical Fixtures,Frame_Socket,1 AC,1,27-May-25,cleaning room,6.41,לא
L0013,Electrical Fixtures,M_Junction Boxes - W,W,1,27-May-25,cleaning room,6.41,לא
L0013,Mechanical Equipment,AW 450,AW 450,1,27-May-25,cleaning room,6.41,לא
L0015,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,07-May-25,LSS shaft,0.8,כן
L0016,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,10-May-25,UNISEX  w.c,13.43,כן
L0016,Electrical Fixtures,Frame_Socket,Type 2,3,10-May-25,UNISEX  w.c,13.43,כן
L0017,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,24-May-25,electricity shaft,2.77,לא
L0017,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,24-May-25,electricity shaft,2.77,לא
L0019,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,17-May-25,electricity shaft,4.32,לא
L0019,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,17-May-25,electricity shaft,4.32,לא
