Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
P0002,Electrical Equipment,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,6131_38-183-500,1,13-May-25,,,לא קיים מידע
P0002,Electrical Fixtures,Detector Presence,Presence WC LM detector Mov,1,13-May-25,,,לא קיים מידע
P0002,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,13-May-25,,,לא קיים מידע
P0002,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,13-May-25,,,לא קיים מידע
P0002,Lighting Fixtures,×¤×¡ ×œ×“ ×©×§×•×¢,700 24h,1,13-May-25,,,לא קיים מידע
P0002,Lighting Fixtures,×¤×¡ ×œ×“ ×©×§×•×¢,×¨×•×—×‘ 151,6,13-May-25,,,לא קיים מידע
P0002,Mechanical Equipment,AWL 800,AWL 800,1,13-May-25,,,לא קיים מידע
P0003,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,13-May-25,,,לא קיים מידע
P0003,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,2,13-May-25,,,לא קיים מידע
P0004,Electrical Fixtures,Frame_Socket,Normal x2,36,13-May-25,,,לא קיים מידע
P0004,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,2,13-May-25,,,לא קיים מידע
P0004,Lighting Fixtures,M_Ceiling Light - Linear Box1,Emergency Lamp,3,13-May-25,,,לא קיים מידע
P0004,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,6,13-May-25,,,לא קיים מידע
P0004,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K 24h,1,13-May-25,,,לא קיים מידע
P0004,Mechanical Equipment,AWS 1000,AWS 1000,1,13-May-25,,,לא קיים מידע
P0007,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,13-May-25,,,לא קיים מידע
P0007,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,13-May-25,,,לא קיים מידע
P0007,Lighting Fixtures,×¤×¡ ×œ×“ ×©×§×•×¢,600 24h,1,13-May-25,,,לא קיים מידע
P0007,Lighting Fixtures,×¤×¡ ×œ×“ ×©×§×•×¢,×¨×•×—×‘ 151,5,13-May-25,,,לא קיים מידע
P0007,Mechanical Equipment,AWL 600,AWL 600,1,13-May-25,,,לא קיים מידע
P0008,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,13-May-25,,,לא קיים מידע
P0008,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,13-May-25,,,לא קיים מידע
P0008,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),4,13-May-25,,,לא קיים מידע
P0008,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,8,13-May-25,,,לא קיים מידע
P0008,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm 24h,2,13-May-25,,,לא קיים מידע
P0008,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 900mm,1,13-May-25,,,לא קיים מידע
P0008,Mechanical Equipment,AWS 1000,AWS 1000,1,13-May-25,,,לא קיים מידע
P0009,Electrical Equipment,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,6131_38-183-500,1,13-May-25,,,לא קיים מידע
P0009,Electrical Fixtures,Detector Presence,Presence WC LM detector Mov,1,13-May-25,,,לא קיים מידע
P0009,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,4,13-May-25,,,לא קיים מידע
P0009,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,13-May-25,,,לא קיים מידע
P0009,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,4,13-May-25,,,לא קיים מידע
P0010,Electrical Equipment,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,6131_38-183-500,1,13-May-25,,,לא קיים מידע
P0010,Electrical Fixtures,Detector Presence,Presence WC LM detector Mov,1,13-May-25,,,לא קיים מידע
P0010,Electrical Fixtures,Frame_Socket,Normal x2 WP,2,13-May-25,,,לא קיים מידע
P0010,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,5,13-May-25,,,לא קיים מידע
P0010,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,13-May-25,,,לא קיים מידע
P0010,Lighting Fixtures,M_Recessed Direct-Indirect Light - Asymmetrical,Topaz 1200mm,6,13-May-25,,,לא קיים מידע
P0011,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,13-May-25,,,לא קיים מידע
P0011,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,4,13-May-25,,,לא קיים מידע
P0012,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,13-May-25,,,לא קיים מידע
P0012,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,4,13-May-25,,,לא קיים מידע
P0013,Electrical Equipment,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,6131_38-183-500,1,13-May-25,,,לא קיים מידע
P0013,Electrical Fixtures,Detector Presence,Presence WC LM detector Mov,1,13-May-25,,,לא קיים מידע
P0013,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,2,13-May-25,,,לא קיים מידע
P0014,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,1,13-May-25,,,לא קיים מידע
P0015,Lighting Fixtures,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,Type 1,1,13-May-25,,,לא קיים מידע
P0016,Electrical Equipment,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,6131_38-183-500,1,13-May-25,,,לא קיים מידע
P0016,Electrical Fixtures,Detector Presence,Presence WC LM detector Mov,1,13-May-25,,,לא קיים מידע
